Wavelength,Intensity,
250.01,4.24E-04,
250.23,3.18E-04,
250.46,3.41E-04,
250.69,3.00E-04,
250.92,2.76E-04,
251.15,2.11E-04,
251.38,2.30E-04,
251.6,2.57E-04,
251.83,2.51E-04,
252.06,2.80E-04,
252.29,3.08E-04,
252.52,3.15E-04,
252.75,2.90E-04,
252.97,3.16E-04,
253.2,3.37E-04,
253.43,3.58E-04,
253.66,3.67E-04,
253.89,3.48E-04,
254.11,3.22E-04,
254.34,3.02E-04,
254.57,3.31E-04,
254.8,3.37E-04,
255.03,3.57E-04,
255.25,4.29E-04,
255.48,4.39E-04,
255.71,4.47E-04,
255.94,4.72E-04,
256.17,5.12E-04,
256.39,5.10E-04,
256.62,5.40E-04,
256.85,5.60E-04,
257.08,6.02E-04,
257.31,6.08E-04,
257.53,5.67E-04,
257.76,5.46E-04,
257.99,5.60E-04,
258.22,5.84E-04,
258.45,6.44E-04,
258.67,6.49E-04,
258.9,6.84E-04,
259.13,7.07E-04,
259.36,6.89E-04,
259.58,6.69E-04,
259.81,7.45E-04,
260.04,7.72E-04,
260.27,8.11E-04,
260.5,8.35E-04,
260.72,8.32E-04,
260.95,8.01E-04,
261.18,8.48E-04,
261.41,8.31E-04,
261.63,8.29E-04,
261.86,8.39E-04,
262.09,8.82E-04,
262.32,8.13E-04,
262.54,8.35E-04,
262.77,8.38E-04,
263,8.31E-04,
263.23,8.68E-04,
263.45,9.08E-04,
263.68,8.96E-04,
263.91,9.34E-04,
264.14,9.86E-04,
264.36,9.68E-04,
264.59,9.95E-04,
264.82,1.00E-03,
265.05,1.02E-03,
265.27,1.01E-03,
265.5,1.02E-03,
265.73,1.06E-03,
265.96,1.07E-03,
266.18,1.04E-03,
266.41,1.06E-03,
266.64,1.09E-03,
266.87,1.06E-03,
267.09,1.06E-03,
267.32,1.13E-03,
267.55,1.11E-03,
267.77,1.11E-03,
268,1.13E-03,
268.23,1.16E-03,
268.46,1.14E-03,
268.68,1.14E-03,
268.91,1.16E-03,
269.14,1.12E-03,
269.37,1.13E-03,
269.59,1.15E-03,
269.82,1.17E-03,
270.05,1.18E-03,
270.27,1.19E-03,
270.5,1.19E-03,
270.73,1.16E-03,
270.95,1.14E-03,
271.18,1.10E-03,
271.41,1.13E-03,
271.64,1.11E-03,
271.86,1.12E-03,
272.09,1.10E-03,
272.32,1.11E-03,
272.54,1.09E-03,
272.77,1.07E-03,
273,1.06E-03,
273.22,1.06E-03,
273.45,1.08E-03,
273.68,1.09E-03,
273.91,1.09E-03,
274.13,1.10E-03,
274.36,1.11E-03,
274.59,1.09E-03,
274.81,1.08E-03,
275.04,1.06E-03,
275.27,1.05E-03,
275.49,1.07E-03,
275.72,1.08E-03,
275.95,1.06E-03,
276.17,1.05E-03,
276.4,1.02E-03,
276.63,1.01E-03,
276.85,9.63E-04,
277.08,9.86E-04,
277.31,1.00E-03,
277.53,1.01E-03,
277.76,9.88E-04,
277.99,9.54E-04,
278.21,9.20E-04,
278.44,8.89E-04,
278.67,8.79E-04,
278.89,8.56E-04,
