    main_id    |        ra        |        dec         |     sp_type     |  B  |  V
---------------|------------------|--------------------|-----------------|-----|-----
"* pi. Cas"    |10.866957011260002|47.02454577746      |"A5V"            |5.12 |4.949
"* pi. Per"    |44.69029234138    |39.6627265502       |"A2Vn"           |4.76 |4.7
"* nu. Cyg"    |314.2934113771354 |41.16713095223666   |"A0IIIn"         |3.96 |3.94
"* alf Lac"    |337.8229225889383 |50.28249164252277   |"A1V"            |3.78 |3.77
"*   9 Lac"    |339.3434079935154 |51.54512102229361   |"A9VkA7mA6"      |4.87 |4.63
"* l Per"      |50.36066150050001 |43.32965086794      |"A3V"            |5.006|4.946
"* alf Cyg"    |310.35797975307673|45.280338806527574  |"A2Ia"           |1.34 |1.25
"* tet Cas"    |17.77567538716791 |55.14989971999472   |"A7V"            |4.51 |4.33
"*  30 Cyg"    |303.32522443319   |46.815675264430006  |"A5IIIn"         |4.911|4.819
"* del Cas"    |21.453964462083334|60.23528402972222   |"A5IV"           |2.81 |2.68
"* nu. Cep"    |326.36218806843   |61.12080560639389   |"A2Iae"          |4.81 |4.29
"* ksi Cep"    |330.9477291109317 |64.62797577182414   |"Am+F7/8V"       |4.63 |4.29
"*  33 Cyg"    |303.3494419308303 |56.567723135216944  |"A3IV-Vn"        |4.384|4.271
"* alf Cep"    |319.6448846972256 |62.5855744637194    |"A8Vn"           |2.68 |2.46
"HD  21389"    |52.478098350379994|58.878749133439996  |"A0Ia"           |5.1  |4.54
"* lam Per"    |61.64601078927791 |50.35126150659166   |"A0IVn"          |4.31 |4.29
"* tet Cep"    |307.39543861014   |62.99411033485      |"A7III"          |4.42 |4.22
"* b Per"      |64.56092274545583 |50.295493065878055  |"A1III"          |4.639|4.594
"* iot Cyg"    |292.4264926137312 |51.729777922052214  |"A5V"            |3.899|3.755
"*  48 Cas"    |30.489551300890835|70.90696692312001   |"A3Va"           |4.7  |4.54
"*  48 Cas A"  |30.48932000833333 |70.9070645138889    |"A2V"            |4.75 |4.63
"*  50 Cas"    |30.858785166533742|72.42129411554222   |"A2V"            |3.953|3.938
"* pi. Dra"    |290.1670477892996 |65.71453186921029   |"A0III"          |4.61 |4.59
"HD  19275"    |47.98445484034    |74.39365830223      |"A2Vnn"          |4.878|4.834
"* gam Cam"    |57.58962223085542 |71.33226610659722   |"A2IVn"          |4.655|4.604
"*   7 Cam"    |74.32165746492625 |53.75210201356083   |"A1V"            |4.416|4.433
"* ksi Aur"    |88.71152890533    |55.70696670846001   |"A2V"            |5.005|4.96
"* del UMi"    |263.0541592214034 |86.58645960557529   |"A1Van"          |4.367|4.336
"HD  42818"    |94.71157297372875 |69.31981423597666   |"A0Vn"           |4.77 |4.757
"*   2 Lyn"    |94.90571929954999 |59.010981002848894  |"A2Vs"           |4.462|4.434
"* zet UMi"    |236.01466070576328|77.79449312481054   |"A3Vn"           |4.316|4.274
"* gam UMi"    |230.18209804850082|71.83402545491221   |"A2III"          |3.067|3.002
"* psi10 Aur"  |104.40461340335541|45.094093919998336  |"A2Vn"           |4.919|4.893
"*  52 Her"    |252.30924255689322|45.98332279092482   |"A1VpSiSrCr"     |4.914|4.823
"*  24 Lyn"    |115.75173258573335|58.71035918406      |"A3IVn"          |5.024|4.947
