   main_id   |        ra        |        dec         |       sp_type        |  B  |  V
-------------|------------------|--------------------|----------------------|-----|-----
"* sig Cyg"  |319.3539677916984 |39.394679733096666  |"B9Iab"               |4.37 |4.24
"*   6 Lac"  |337.62191955812244|43.12337646048139   |"B2IV"                |4.4  |4.511
"*   2 Lac"  |335.25644708706545|46.53656977961028   |"B6V"                 |4.431|4.54
"* omi Cas"  |11.181327503027083|48.28436973261194   |"B5IIIe"              |4.44 |4.5
"* phi And"  |17.37552339943203 |47.241794288193404  |"B5IIIe"              |4.18 |4.25
"*   4 Lac"  |336.12913122019995|49.47639182907      |"B9Iab-Ib"            |4.67 |4.58
"* nu. Cas"  |12.208422895640002|50.96816512721001   |"B9III"               |4.789|4.891
"* ksi Cas"  |10.51621753161    |50.51253344554      |"B3IV"                |4.71 |4.81
"* bet Per"  |47.04221855625    |40.95564667027778   |"B8V"                 |2.07 |2.12
"*  57 Cyg"  |313.31149497037376|44.38726329637638   |"B5V"                 |4.63 |4.77
"* pi.02 Cyg"|326.69837408038626|49.309570627924444  |"B2.5III"             |4.11 |4.18
"* zet Cas"  |9.242852031185834 |53.89691044421194   |"B2IV"                |3.47 |3.66
"*  55 Cyg"  |312.2345483006    |46.11413434584      |"B2.5Ia"              |5.28 |4.86
"* f01 Cyg"  |314.95647551979   |47.52093437401      |"B1.5Vnne"            |4.71 |4.75
"* pi.01 Cyg"|325.5235860829083 |51.18962768180972   |"B3III"               |4.55 |4.66
"V* AR Cas"  |352.5080859874299 |58.548920051420005  |"B3V"                 |4.76 |4.886
"*   1 Cas"  |346.6534074061571 |59.41975982112528   |"B0.5III"             |4.771|4.84
"* gam Cas"  |14.17721289375    |60.71674002472222   |"B0.5IVpe"            |2.29 |2.39
"* ome01 Cyg"|307.51475394137   |48.95156682478001   |"B2.5IV"              |4.835|4.936
"* kap Cas"  |8.249966181752502 |62.93178142392444   |"BC0.7Ia"             |4.3  |4.16
"*  34 Per"  |52.34187290056292 |49.50895295100028   |"B3V"                 |4.61 |4.735
"HD  21278"  |52.01279483428    |49.06286827886      |"B5V"                 |4.89 |4.97
"* psi Per"  |54.12241555310417 |48.19263455720194   |"B5Ve"                |4.17 |4.23
"* del Per"  |55.73122001957376 |47.787496738188054  |"B5III"               |2.89 |3.01
"* del Cyg"  |296.24366058875   |45.13081001833333   |"B9.5IV"              |2.85 |2.87
"*   9 Cep"  |324.48010058101   |62.08194177133      |"B2Ib"                |5.03 |4.73
"* eps Cas"  |28.5988920257     |63.670100066329994  |"B3Vp_sh"             |3.22 |3.37
"* c Per"    |62.165389873278755|47.712510557601675  |"B3Ve"                |4.0  |4.03
"* d Per"    |65.3881926825     |46.49887912276      |"B4IV"                |4.757|4.812
"* ome Cas"  |29.000117919449995|68.68523997607      |"B5III"               |4.874|4.968
"HD  21291"  |52.267220373399994|59.940333656830006  |"B9Ia"                |4.63 |4.22
"* bet Cep"  |322.1649868804167 |70.56071518916666   |"B0.5IIIs"            |3.01 |3.23
"HD  20336"  |49.99695557921999 |65.65230155745      |"B2.5Vn(e)"           |4.7  |4.85
"* kap Cep"  |302.22228643703   |77.71142098602      |"B9III"               |4.35 |4.4
"* phi Dra"  |275.1893010132354 |71.33781941082947   |"B8V"                 |4.15 |4.22
"* iot Her"  |264.86619540844913|46.006331382789725  |"B3IV"                |3.63 |3.8
"* zet Dra"  |257.1966155398917 |65.71464532697362   |"B8III"               |3.06 |3.17
"*  15 Dra"  |246.99589402110996|68.76813708627      |"B9.5IV"              |4.906|4.949
"* kap Dra"  |188.37059715355997|69.78823885895      |"B6IIIe"              |3.75 |3.89
"* phi Her"  |242.19240090854004|44.93490593204      |"B9VspHgMn"           |4.2  |4.27
"* ups Her"  |240.69957424293   |46.03670386587      |"B9.5III"             |4.616|4.709
"* eta UMa"  |206.88515734206297|49.31326672942533   |"B3V"                 |1.67 |1.86
"* ksi Tau"  |51.79225241356    |9.7327419509        |"B9Vn"                |3.66 |3.75
"* v Eri"    |52.65440965782083 |-5.075147980387778  |"B9III"               |4.631|4.725
"* o Per"    |55.59435804525584 |33.965026028095004  |"B0.5V"               |4.912|4.972
"* omi Per"  |56.07972403666    |32.2882464911       |"B1III"               |3.91 |3.91
"*  17 Tau"  |56.218904540787506|24.11333785002      |"B6IIIe"              |3.59 |3.7
"* tau05 Eri"|53.44698288227083 |-21.63288447691278  |"B9V"                 |4.15 |4.25
"* del For"  |55.562093916799995|-31.938362275279996 |"B5III"               |4.814|4.973
"* zet Per"  |58.53301031291666 |31.88363368388889   |"B1Ib"                |2.97 |2.85
"* q Tau"    |56.302083304839165|24.46727376214722   |"B6IV"                |4.19 |4.3
"*  20 Tau"  |56.45670064515208 |24.36774376828833   |"B7III"               |3.8  |3.87
"*  23 Tau"  |56.58160786306708 |23.948358938116662  |"B6IV(e)"             |4.12 |4.18
"*  27 Tau"  |57.29059607421416 |24.053417133280284  |"B8III"               |3.54 |3.63
"* eta Tau"  |56.871152303749994|24.105135651944444  |"B7III"               |2.78 |2.87
"* tau08 Eri"|58.427926484400004|-24.61222817154     |"B6V"                 |4.496|4.623
"* eps Per"  |59.463497424225004|40.01019978155972   |"B0.5III"             |2.71 |2.89
"* lam Tau"  |60.1700698910475  |12.49034444100722   |"B4IV"                |3.29 |3.41
"* mu. Tau"  |63.88357029474707 |8.892358768785835   |"B3IV"                |4.205|4.279
"* ups04 Eri"|64.47359333520666 |-33.79834789118277  |"B8V+B9.5V?"          |3.44 |3.56
"* nu. Eri"  |69.07975799391498 |-3.352460484701945  |"B2III"               |3.737|3.928
"* tau Tau"  |70.56124685498    |22.95690281483      |"B3V"                 |4.138|4.258
"* pi.04 Ori"|72.8015240542129  |5.605103849968333   |"B2III"               |3.5  |3.68
"* mu. Eri"  |71.37563095050251 |-3.2546598112747223 |"B5IV"                |3.87 |4.0
"* pi.05 Ori"|73.56290435241    |2.44067165846       |"B2III"               |3.54 |3.73
"* psi Eri"  |75.35977409316334 |-7.173964786441112  |"B3IV"                |4.62 |4.81
"HD  32309"  |75.35658563567    |-20.05191896613     |"B9V"                 |4.838|4.885
"* eta Aur"  |76.6287255888596  |41.23447574166194   |"B3V"                 |3.0  |3.18
"* bet Ori"  |78.63446706693006 |-8.201638364722209  |"B8Ia"                |0.1  |0.13
"* lam Eri"  |77.28660023210293 |-8.754083776334722  |"B2III(e)p"           |4.07 |4.27
"* iot Lep"  |78.07462743943667 |-11.86910091103778  |"B7.5Vn"              |4.35 |4.45
"* mu. Lep"  |78.23292901709    |-16.205463499750003 |"B9IV:HgMn"           |3.18 |3.29
"* gam Ori"  |81.28276355652378 |6.3497032644440665  |"B2III"               |1.42 |1.64
"* psi01 Ori"|81.18678077013    |1.8464449765800002  |"B1Vn"                |4.76 |4.96
"* o Ori"    |80.44061398642    |-0.38246687060999995|"B2IV"                |4.58 |4.74
"* eta Ori"  |81.11923634279408 |-2.3971475397222215 |"B1V+B2:"             |3.18 |3.35
"* tau Ori"  |79.40162639920332 |-6.844407440375556  |"B6III"               |3.47 |3.59
"* lam Lep"  |79.89384295078916 |-13.176769401368889 |"B0.5V"               |4.04 |4.29
"* chi Aur"  |83.18197656842209 |32.19202236863777   |"B4Ia"                |5.15 |4.79
"* bet Tau"  |81.57297133176498 |28.607451724998228  |"B7III"               |1.52 |1.65
"* o Tau"    |81.90868401411792 |21.936968078639445  |"B2.5V"               |4.719|4.868
"* phi01 Ori"|83.70515678066583 |9.489586216834999   |"B0.2IV"              |4.26 |4.41
"*  32 Ori A"|82.6960460248     |5.9481452814299995  |"B5IV"                |4.32 |4.46
"*  32 Ori"  |82.69604545293245 |5.94813679249986    |"B5IV+B7V"            |4.07 |4.2
"* psi02 Ori"|81.70928884671    |3.0956728206000004  |"B2IV"                |4.398|4.611
"* eps Ori"  |84.05338894077023 |-1.2019191358333312 |"B0Ia"                |1.51 |1.69
"* c Ori"    |83.846519387785   |-4.838349940276388  |"B1V+?"               |4.4  |4.59
"HD  36960"  |83.76117628813041 |-6.002030097000834  |"B0.5V"               |4.5  |4.72
"* zet Tau"  |84.41118926291666 |21.14254411222222   |"B1IVe_shell"         |2.84 |3.03
"* 126 Tau"  |85.32382364958335 |16.534145916388887  |"B3IV"                |4.709|4.836
"* ome Ori"  |84.79644082532583 |4.121468969526665   |"B3Ve"                |4.48 |4.59
"HD  37756"  |85.21131486296083 |-1.128787523605     |"B3V"                 |4.74 |4.95
"* kap Ori"  |86.93912016833333 |-9.66960491861111   |"B0.5Ia"              |1.88 |2.06
"* alf Col"  |84.91225429958334 |-34.07410971972223  |"B9Ve"                |2.53 |2.65
"* 139 Tau"  |89.49857057937459 |25.953912167651104  |"B1Ia"                |4.76 |4.82
"* 134 Tau"  |87.38720972302957 |12.651322412640832  |"B9V"                 |4.811|4.875
"* lam Col"  |88.27867343944    |-33.80136321786     |"B5V"                 |4.72 |4.87
"* gam Col"  |89.38420856924667 |-35.28328098648139  |"B2.5IV"              |4.18 |4.36
"* chi02 Ori"|90.97993487768    |20.13845226149      |"B2Ia"                |4.91 |4.63
"* nu. Ori"  |91.8930213474954  |14.768475205429999  |"B3IV"                |4.24 |4.397
"* tet Col"  |91.88180343427    |-37.2529192305      |"B7III"               |4.888|4.994
"* f01 Ori"  |93.01366640034375 |16.130403784392783  |"B5Vn"                |4.8  |4.92
"* ksi Ori"  |92.9849877025175  |14.208767263474169  |"B3IV"                |4.31 |4.48
"* zet CMa"  |95.07830016583333 |-30.063366733888888 |"B2.5V"               |2.82 |2.99
"* nu. Gem"  |97.24077555916666 |20.212134895555558  |"B6IVe"               |4.0  |4.14
"* bet Mon"  |97.20445710998001 |-7.033058368333033  |"B4Ve+B2Vn(e)+B3V:nne"|3.59 |3.74
"* bet CMa"  |95.67493896958332 |-17.955918708888888 |"B1II-III"            |1.73 |1.97
"* ksi01 CMa"|97.96402617533293 |-23.4184222041275   |"B0.7IV"              |4.09 |4.33
"* lam CMa"  |97.04253341978293 |-32.580068342677784 |"B4V"                 |4.31 |4.48
"* nu. Pup"  |99.44030260969878 |-43.195935686955835 |"B8III"               |3.06 |3.17
"* iot CMa"  |104.0342691434642 |-17.05423863054111  |"B3Ib"                |4.297|4.385
"*  15 CMa"  |103.38711217767248|-20.224252609771387 |"B1IV"                |4.62 |4.83
