    main_id    |        ra        |         dec         |     sp_type     |  B  |  V
---------------|------------------|---------------------|-----------------|-----|-----
"* tau Cyg"    |318.69788551128704|38.04531781602413    |"F2IV"           |4.12 |3.73
"* ome And"    |21.91408631466458 |45.406684757618336   |"F4IV"           |5.25 |4.83
"*   7 And"    |348.13751463414246|49.40620720203916    |"F1V"            |4.81 |4.52
"*  12 Per"    |40.56214403095999 |40.19395048125       |"F9V"            |5.51 |4.92
"* gam Cyg"    |305.55709098208337|40.25667915638889    |"F8Ib"           |2.9  |2.23
"* eta Cas"    |12.276227476217503|57.81517728880999    |"F9V"            |4.02 |3.44
"* tet Per"    |41.04994423087624 |49.228448519215      |"F8V"            |4.62 |4.11
"* nu. Per"    |56.29846973267084 |42.57853042796416    |"F4II"           |4.22 |3.8
"* del Cep"    |337.29276110013086|58.415193781569435   |"F5Iab:+B7-8"    |4.35 |3.75
"* bet Cas"    |2.2945215777878776|59.14978109800713    |"F2III"          |2.61 |2.27
"HD   5015"    |13.2674851758     |61.12397202496       |"F9V"            |5.34 |4.8
"* phi Cas"    |20.020485277440002|58.23161323440999    |"F0Ia"           |5.66 |4.98
"* alf Per"    |51.08070871833333 |49.86117929305556    |"F5Ib"           |2.27 |1.79
"* ups Cep"    |311.338038584707  |57.579716517845      |"F8IV-V+F9IV-V"  |5.05 |4.51
"* tet Cyg"    |294.11055446568747|50.22110138999945    |"F3+V"           |4.86 |4.48
"* d Dra"      |278.14384413886   |57.04559604823001    |"F8Ib-II"        |5.38 |4.761
"*  36 Dra"    |273.4743033607241 |64.39728493338667    |"F5V"            |5.407|4.987
"* chi Dra"    |275.2640939542736 |72.73284772361531    |"F7V"            |4.07 |3.58
"* alf UMi"    |37.954560670189856|89.26410896994187    |"F8Ib"           |2.62 |2.02
"* ome Dra"    |264.23789294864787|68.75796709276833    |"F4V"            |5.2  |4.77
"* psi01 Dra A"|265.48359320893996|72.14886878277       |"F5IV-V"         |4.98 |4.55
"* h Dra"      |254.00704653971044|65.13480466274389    |"F8V"            |5.36 |4.88
"HD 151613"    |251.32442288184   |56.78189999046       |"F2V"            |5.199|4.837
"* tet Dra"    |240.4722707483108 |58.56525053776528    |"F9V"            |4.52 |4.0
"* sig02 UMa"  |137.59810822843832|67.13401783939729    |"F7V"            |5.29 |4.8
"* sig02 UMa A"|137.59811110645   |67.13401715901       |"F6IV-V"         |5.29 |4.813
"* h UMa"      |142.88211696306456|63.06185995089555    |"F0V"            |4.0  |3.67
"* tau UMa"    |137.7293415982    |63.51367121287       |"F6IIIn"         |5.008|4.64
"* ups UMa"    |147.74732523445957|59.03873362321777    |"F0"             |4.1  |3.81
"* chi Her"    |238.16892103821044|42.45151746635472    |"F8VFe-2Hdel-1"  |5.19 |4.62
"* tet Boo"    |216.2991539590004 |51.85074367335807    |"F7V"            |4.56 |4.05
"*  78 UMa"    |195.18208122536515|56.366336161735994   |"F2V"            |5.29 |4.93
"* tet UMa"    |143.21429555749293|51.67731480847444    |"F7V"            |3.64 |3.18
"*  10 UMa"    |135.1603059044704 |41.783024559070554   |"F3V+G5V"        |4.39 |3.96
"*  10 Tau"    |54.21826543507    |0.40166447161916674  |"F9IV-V"         |5.15 |4.3
"* tau06 Eri"  |56.71203049437417 |-23.249722802974723  |"F5IV-V"         |4.65 |4.2
"* omi01 Eri"  |62.96641270133917 |-6.837579624323332   |"F0III"          |4.357|4.026
"*  71 Tau"    |66.58654508539    |15.61830113545       |"F0V"            |4.758|4.48
"* alf Cae"    |70.14046880567959 |-41.863751263843064  |"F2V"            |4.79 |4.45
"* pi.03 Ori"  |72.46004668811875 |6.961277950629445    |"F6V"            |3.63 |3.19
"*  64 Eri"    |74.98223662798    |-12.53741678567      |"F0V"            |5.036|4.77
"*  15 Ori"    |77.42482144179    |15.597213047200002   |"F2IV"           |5.14 |4.82
"* alf Lep"    |83.18256716166667 |-17.82228927222222   |"F0Ib"           |2.77 |2.57
"* gam Lep"    |86.115794237325   |-22.448385487848334  |"F6V"            |4.07 |3.6
"* eta Lep"    |89.10122287687543 |-14.167699537670277  |"F2V"            |4.05 |3.72
"* ksi Gem"    |101.32235202269875|12.895594959796389   |"F5IV-V"         |3.79 |3.36
"* pi. CMa"    |103.90596016133   |-20.13649690453      |"F1.5V"          |5.027|4.664
"* del CMa"    |107.09785021416667|-26.39319957888889   |"F8Ia"           |2.52 |1.84
"* rho Gem"    |112.27799528660326|31.784549252299783   |"F1V"            |4.5  |4.18
"* del Gem"    |110.03072735754377|21.98230404962861    |"F2VkF0mF0"      |3.87 |3.53
"* omi Gem"    |114.79139442639   |34.58430633086       |"F5-6IV"         |5.3  |4.9
"* alf CMi"    |114.82549790798149|5.224987557059477    |"F5IV-V+DQZ"     |0.79 |0.37
"HD  60532"    |113.51325234957001|-22.2960675479       |"F6IV-V"         |4.94 |4.39
"* j Pup"      |119.21475968534753|-22.880111626630278  |"F7II"           |4.9  |4.184
"* rho Pup"    |121.88603676458334|-24.304324429444446  |"F5IIkF2IImF5II" |3.24 |2.81
"* tau PsA"    |332.53658414455214|-32.54840841508611   |"F6V"            |5.4  |4.92
"* tau01 Eri"  |41.275828336206246|-18.572622827755275  |"F7V"            |4.94 |4.46
"* sig Cet"    |38.02161582704584 |-15.244903767084717  |"F5V"            |5.2  |4.75
"*   6 Cet"    |2.81607516478     |-15.467977907889997  |"F8VFe-0.8CH-0.5"|5.38 |4.89
"* eps Cet"    |39.89082255350083 |-11.872097675596667  |"F5V"            |5.33 |4.87
"* chi Cet"    |27.396261525257913|-10.6864086109725    |"F0V"            |5.0  |4.68
"* zet02 Aqr"  |337.2078700438454 |-0.019964649560277777|"F2V+"           |4.79 |4.34
"* zet01 Aqr"  |337.2078600866833 |-0.020544972322777775|"F2.5IV-V"       |4.89 |4.49
"* zet Aqr"    |337.20794519724916|-0.019942847221622   |"F2V++F2.5IV-V"  |4.06 |3.65
"* iot Psc"    |354.9876691817333 |5.626292753319723    |"F7V"            |4.62 |4.12
"* del Equ"    |318.6200637820833 |10.006979410555555   |"F7(V)+G0(V)"    |4.99 |4.49
"* ksi Peg"    |341.67324939263915|12.172885794474443   |"F6V"            |4.69 |4.2
"* ups Peg"    |351.34492863566044|23.40410081022638    |"F8III"          |5.01 |4.4
"* lam Ari"    |29.482153088393332|23.596062782928055   |"F0V"            |5.053|4.766
"* kap Peg"    |326.16139676550046|25.645037762581552   |"F5V"            |4.553|4.135
"* iot Peg"    |331.75277295908   |25.345098996239997   |"F5V"            |4.2  |3.77
"*  14 Ari"    |32.3555207688508  |25.9398378657198     |"F2III"          |5.318|4.977
"* mu.01 Cyg"  |326.0357430466654 |28.74262986181361    |"F7V"            |5.14 |4.7
"* alf Tri"    |28.2704392446475  |29.578818669729724   |"F5III"          |3.9  |3.42
"* pi. Peg"    |332.49684591383624|33.178222333123884   |"F5II-III_sh"    |4.75 |4.29
"* ups And"    |24.199339768294585|41.40545871334139    |"F9V"            |4.64 |4.1
