   main_id   |        ra        |        dec        |        sp_type        |  B  |  V
-------------|------------------|-------------------|-----------------------|-----|-----
"* psi And"  |356.50852930961   |46.42027401636     |"G3Ib-II"              |6.064|4.966
"* lam And"  |354.39101158367913|46.45815131141917  |"G8IVk"                |4.84 |3.82
"HD  10307"  |25.446361892124575|42.61339487994944  |"G1V"                  |5.58 |4.96
"* rho Cyg"  |323.4952210208758 |45.59183890429417  |"G8IIIFe-0.5"          |4.91 |4.02
"* bet Lac"  |335.8900971399658 |52.22904671718861  |"G9IIIbCa1"            |5.46 |4.44
"* kap Per"  |47.37418183354417 |44.85745828572973  |"G9.5IIIb"             |4.79 |3.81
"* rho Cas"  |358.59596887605   |57.499381871500006 |"G2_0"                 |5.85 |4.59
"* ups02 Cas"|14.16627144337    |59.18105702418999  |"G8.5IIIbFe-0.5"       |5.581|4.622
"* chi Cas"  |23.48283948896    |59.23205391431     |"G9IIIb"               |5.675|4.681
"* tau Per"  |43.56449050346    |52.762467426469996 |"G8III+A7V"            |4.71 |3.96
"* gam Per"  |46.19925046367875 |53.50646183498722  |"G9III+A2-III:"        |3.63 |2.93
"* k Per"    |46.38504794668    |56.70571881232     |"G9+IIIb"              |5.794|4.766
"* mu. Per"  |63.72443131105167 |48.409330648442776 |"G0Ib"                 |5.12 |4.16
"*  24 Cep"  |332.4517944276    |72.34120548068     |"G7II-III"             |5.707|4.786
"* pi. Cep"  |346.9743906898412 |75.3874986252686   |"G2III"                |5.21 |4.41
"* pi. Cep A"|346.97446390095   |75.38751085759     |"G3III"                |5.57 |4.61
"HD  23089"  |56.50971455266    |63.34505876123999  |"G2Ib/II+B7III/IV"     |5.559|4.81
"* kap Cyg"  |289.27570134506874|53.36845827781306  |"G9III"                |4.73 |3.76
"HD 175535"  |283.30646246503   |50.70822056539     |"G7IIIaFe-1"           |5.82 |4.92
"* alf Aur"  |79.17232794433404 |45.99799146983673  |"G3III:"               |0.88 |0.08
"* omi Dra"  |282.80039310189   |59.38835014726     |"G9IIIFe-0.5"          |5.798|4.636
"* del Dra"  |288.1387557204383 |67.66153865705445  |"G9III"                |4.07 |3.07
"* bet Cam"  |75.85454611254374 |60.44224553701305  |"G1Ib"                 |4.95 |4.02
"* eps UMi"  |251.49268168439   |82.03725828429     |"G5III"                |5.109|4.212
"* bet Dra"  |262.60817373291667|52.30138870861111  |"G2Ib-IIa"             |3.79 |2.81
"*  15 Lyn"  |104.31918858666667|58.42276123194444  |"G2III"                |5.2  |4.35
"* eta Dra"  |245.99785970199997|61.51420976085001  |"G8-IIIab"             |3.65 |2.74
"HD  91190"  |158.77287640462   |75.71290185511     |"G8III-IIIb"           |5.807|4.853
"* d UMa"    |143.62024780327   |69.83034070608     |"G5III-IV"             |5.34 |4.57
"* omi UMa"  |127.56612565266667|60.718168223941106 |"G5III:"               |4.27 |3.42
"* alf UMa A"|165.93195263333334|61.75103334166666  |"G9III"                |3.01 |1.87
"* alf UMa"  |165.9319646738126 |61.751034687818226 |"G9III+A7.5"           |2.86 |1.79
"*   5 CVn"  |186.00622618936   |51.56225684355001  |"G7IIIBa0.3"           |5.643|4.761
"* bet Boo"  |225.48650960185543|40.39056857046112  |"G8IIIaFe-0.5"         |4.47 |3.52
"HD  82741"  |143.76595730048   |39.6214926432      |"G9.5IIIbFe-1"         |5.788|4.8
"HD  77912"  |136.63236601269   |38.45221393586     |"G7IIa"                |5.567|4.539
"* del Ari"  |47.90736069940499 |19.726673110293053 |"G9.5IIIb"             |5.4  |4.37
"* kap01 Cet"|49.840401739905   |3.370198605523333  |"G5V"                  |5.52 |4.85
"* omi Tau"  |51.203326327090004|9.02886962001      |"G6III"                |4.49 |3.6
"*  32 Eri"  |58.57292416856885 |-2.9547342990259793|"G8III+A1V"            |5.13 |4.45
"* g Eri"    |57.36352607903708 |-36.20025674197    |"G7III"                |5.12 |4.17
"* f Per"    |63.72221833652    |40.48364037799     |"G5II+A2V"             |5.652|4.691
"*  54 Per"  |65.10265794747    |34.56672594375     |"G8+IIIb"              |5.867|4.929
"* eps Tau"  |67.15416772966458 |19.18043420581389  |"G9.5IIICN0.5"         |4.54 |3.53
"* gam Tau"  |64.94834968291876 |15.627642051424726 |"G9.5IIIabCN0.5"       |4.64 |3.65
"* del Tau"  |65.73372983164    |17.54251383399     |"G9.5IIICN0.5"         |4.74 |3.76
"* tet01 Tau"|67.14374134289625 |15.962283658173055 |"G9IIIFe-0.5"          |4.78 |3.84
"* pi. Tau"  |66.65154769028    |14.7137818582      |"G7IIIFe-0.5"          |5.67 |4.69
"* ups02 Eri"|68.88765817174708 |-30.562342037091394|"G8+III"               |4.8  |3.82
"* lam Aur"  |79.78531437463376 |40.09905141137223  |"G1.5IV-VFe-1"         |5.33 |4.71
"* n Tau"    |79.81919240385    |22.096505949550007 |"G8III"                |5.894|4.948
"* e Ori"    |80.9867824417454  |-7.808062597089446 |"G8+III"               |5.08 |4.12
"* phi02 Ori"|84.22661905356708 |9.2906712530075    |"G9.5IIIbFe-2.5"       |5.04 |4.09
"* bet Lep"  |82.06134536679916 |-20.759443885748333|"G5II-IIIa:"           |3.66 |2.84
"* tau Aur"  |87.29348991048083 |39.18107231686389  |"G8IIIbFe-1"           |5.45 |4.5
"* 132 Tau"  |87.25404562438    |24.567460751190005 |"G9III"                |5.897|4.873
"* chi01 Ori"|88.59576245541668 |20.276172788333334 |"G0V"                  |5.0  |4.4
"* eta Col"  |89.78668786934041 |-42.815132310185554|"G8/K1II"              |5.1  |3.96
"*   1 Gem"  |91.03006433050544 |23.26334447236106  |"G5III"                |5.02 |4.15
"* kap Aur"  |93.84453491325125 |29.49807647788778  |"G8.5IIIb"             |5.36 |4.35
"* del Col"  |95.5284372868     |-33.43639894756    |"G7II"                 |4.73 |3.85
"* kap Col"  |94.13806452051917 |-35.14051510013389 |"G9IIIbCN0.5"          |5.37 |4.37
"* eps Gem"  |100.98302979662667|25.131127192367778 |"G8Ib"                 |4.39 |2.98
"* zet Gem"  |106.02721349362085|20.570298465267225 |"G1Ib"                 |4.58 |3.79
"* iot Gem"  |111.43164850380958|27.79807970844639  |"G9IIIb"               |4.83 |3.79
"* eps CMi"  |111.4120820166    |9.276090422389998  |"G6IIb"                |5.99 |4.986
"* alf Mon"  |115.31179988937959|-9.551132713051112 |"G9.5III-IIIbFe-0.5"   |4.95 |3.93
"HD  59890"  |112.67750823300001|-30.962280535559998|"G2Iab/b"              |5.58 |4.65
"* kap Gem"  |116.11184921750542|24.397996469691666 |"G8III-IIIb"           |4.49 |3.57
"* ksi Pup"  |117.32355646601665|-24.859783879637224|"G6Ib"                 |4.56 |3.3
"* zet Mon"  |122.14853373998083|-2.9837876605491664|"G2Ib"                 |5.3  |4.33
"*  19 Pup"  |122.81793876918377|-12.926998685673055|"G8.5IIIb"             |5.68 |4.72
"*  20 Pup"  |123.33319648832   |-15.78822467489    |"G4Ib-II"              |6.06 |4.99
"* iot Cnc"  |131.67425181855   |28.759893136039995 |"G8IIIaBa0.2"          |4.996|4.018
"* eps Hya"  |131.6938009684597 |6.4188015227537685 |"G1III+A8V"            |4.06 |3.38
"* F Hya"    |130.91822701949124|-7.233728474508057 |"G1Ib"                 |5.441|4.625
"* D Hya"    |131.59393502428   |-13.54772364866    |"G8IIIbCN-1"           |5.22 |4.32
"* zet Pyx"  |129.92697514366   |-29.561084594019995|"G6IIIbCN-0.5"         |5.777|4.872
"* bet Pyx"  |130.02559701234668|-35.308355114771395|"G5II/III"             |4.885|3.954
"* zet Hya"  |133.84844248935084|5.945565210399724  |"G8.5III"              |4.1  |3.1
"* mu.01 Gru"|333.90382843591   |-41.34676263147    |"G8III+G"              |5.595|4.798
"* gam Mic"  |315.32278484967463|-32.25773009806862 |"G8III"                |5.529|4.654
"* bet For"  |42.27257876772    |-32.405897779689994|"G9IIIb"               |5.45 |4.46
"* del PsA"  |343.98708414699   |-32.53962393681    |"G8III"                |5.172|4.208
"* zet Cap"  |321.66679439709753|-22.41132034516556 |"G4Ib:Ba2"             |4.75 |3.74
"* b Cap"    |322.18083626173666|-21.807179760148607|"G7IIIbFe-1"           |5.4  |4.5
"*  89 Aqr"  |347.47870627107613|-22.457606905887776|"G2III+A2V"            |5.5  |4.8
"* c01 Aqr"  |346.6701988318    |-23.74299001927    |"G6IIIb"               |5.37 |4.47
"* iot Cap"  |320.5616499287887 |-16.834543892793892|"G7IIIFe-1.5"          |5.18 |4.27
"* kap Cap"  |325.6646170042121 |-18.86632088422667 |"G8III"                |5.593|4.726
"* 104 Aqr"  |355.44085990105   |-17.81653194641    |"G2Ib/II"              |5.65 |4.83
"* bet Cet"  |10.897378736003901|-17.98660631592891 |"G9.5IIICH-1"          |3.02 |2.01
"* tau Cet"  |26.01701307163417 |-15.93747989102139 |"G8V"                  |4.22 |3.5
"* tet Aqr"  |334.20848618584   |-7.783288742531944 |"G9II"                 |5.15 |4.16
"* bet Aqr"  |322.88971698347876|-5.5711748280636115|"G0Ib"                 |3.71 |2.89
"*  27 Psc"  |359.66821392912914|-3.5559698068669445|"G8III"                |5.814|4.886
"* alf Aqr"  |331.4459814409479 |-0.3198509554241667|"G2Ib"                 |3.9  |2.94
"* gam Psc"  |349.291404638535  |3.282290469004722  |"G9III:Fe-2"           |4.62 |3.7
"* ksi Psc"  |28.388904126109995|3.18753250608      |"G8.5IIIb"             |5.552|4.604
"* alf Equ"  |318.95598819687746|5.247891952405833  |"G6IV+B9.5V"           |4.446|3.933
"* eps Psc"  |15.735868263886667|7.8901331810086095 |"G9IIIbFe-2"           |5.24 |4.28
"* nu. Cet"  |38.968641873225   |5.593240000491665  |"G8III"                |5.742|4.871
"* omi Psc"  |26.348438396549998|9.15775073342      |"G8III"                |5.22 |4.26
"* ksi01 Cet"|33.25000132715    |8.846702350650002  |"G7IIIBa0.4Fe-1"       |5.23 |4.35
"*  70 Peg"  |352.28874683255   |12.76054988093     |"G8IIIa"               |5.5  |4.56
"* eta Psc"  |22.870867450065003|15.345831842497502 |"G7IIIa"               |4.6  |3.62
"*   9 Peg"  |326.12789917532706|17.35001747222167  |"G5Ib"                 |5.52 |4.35
"* chi Psc"  |17.86341123302125 |21.03464916803889  |"G8.5III"              |5.679|4.658
"* lam Peg"  |341.63282462498836|23.565656099650834 |"G8IIIaCN0.5"          |5.0  |3.93
"* eta And"  |14.301667830110834|23.417650023123606 |"G8-III"               |5.36 |4.42
"* mu. Peg"  |342.50080447836956|24.601581283481668 |"G8+III"               |4.42 |3.48
"* eps And"  |9.638947629184164 |29.311753227467783 |"G7IIIFe-3CH1"         |5.25 |4.38
"* eta Peg"  |340.75053685395   |30.221214713719995 |"G8II+F0V"             |3.81 |2.95
"* iot Tri"  |33.09283344086611 |30.30306751098826  |"G0III+G5III"          |5.741|4.952
"* zet Cyg"  |318.23410828951364|30.226898680620003 |"G8+III-IIIaBa0.5"     |4.2  |3.21
"*  26 Hya"  |139.94325689479   |-11.9748527477     |"G7III"                |5.703|4.77
"* ksi Leo"  |142.98642072335   |11.299821799159998 |"G9.5III"              |6.015|4.963
"* lam Pyx"  |140.80104290633   |-28.833861351429988|"G8.5IIIbFe-1"         |5.59 |4.68
"*  10 LMi"  |143.55575768679   |36.39755806204     |"G7.5IIIb"             |5.47 |4.6
"* eps Leo"  |146.46280673687792|23.77425377711222  |"G1IIIa"               |3.79 |2.98
"* ups01 Hya"|147.86947907884206|-14.846628713346947|"G7III"                |5.03 |4.11
"* bet LMi"  |156.97083166458333|36.707210010555556 |"G9III"                |5.11 |4.21
"*  37 LMi"  |159.6800533769408 |31.976239827446104 |"G2.5IIIa"             |5.494|4.677
"* phi Hya"  |159.64561530687   |-16.87656518643    |"G8IIIb"               |5.824|4.903
"* ksi UMa B"|169.54515004808545|31.529117136365    |"G2V"                  |5.41 |4.77
"* del Crt"  |169.83519729807168|-14.778539835960277|"G9IIICH0.5"           |4.67 |3.56
"* tau Leo"  |171.98433134626   |2.85626503025      |"G8-IIIa"              |5.94 |4.943
"* ups Leo"  |174.23721152069376|-0.8237499422280555|"G9IIIbFe-0.5"         |5.31 |4.3
"* ksi Hya"  |173.25047887756918|-31.857624437632783|"G7IIIb"               |4.47 |3.54
"* zet Crt"  |176.19073323219   |-18.3506763721     |"G8.5III"              |5.677|4.706
"HD 102365"  |176.62946888804873|-40.50035718532611 |"G2V"                  |5.55 |4.88
"* omi Vir"  |181.3022159695604 |8.733018576605835  |"G8IIICN0.5CH1Ba1"     |5.11 |4.12
"*   7 Com"  |184.08557639106084|23.945407275677496 |"G8III-IIIb"           |5.81 |4.86
"*  11 Com"  |185.17927403996   |17.79286875343     |"G8+IIIFe-1"           |5.74 |4.74
"* bet CVn"  |188.43560104856124|41.35747815357195  |"G0V"                  |4.86 |4.25
"* bet Crv"  |188.59681217680622|-23.39676021620222 |"G5IIBa0.3"            |3.52 |2.64
"*  31 Com"  |192.92466737359996|27.54071250467     |"G0IIIp"               |5.61 |4.94
"*  35 Com"  |193.32394594090889|21.244947012977285 |"G7III+F:"             |5.8  |4.91
"*  37 Com"  |195.06862265967996|30.785022071370005 |"G9IIICH-2CN-1"        |6.02 |4.88
"* eps Vir"  |195.5441542302233 |10.959148721740554 |"G8III-IIIb"           |3.71 |2.79
"HD 115004"  |198.42892372375997|40.15288502949     |"G8.5IIICN0.5"         |5.99 |4.94
"*  61 Vir"  |199.60130827686294|-18.311193819050562|"G6.5V"                |5.44 |4.74
"HD 114613"  |198.01326789946205|-37.803022202350824|"G3V"                  |5.55 |4.85
"*  70 Vir"  |202.10753579536706|13.778788419113054 |"G4Va"                 |5.68 |4.97
"* gam Hya"  |199.73040703832623|-23.171514006915   |"G8IIIa"               |3.92 |3.0
"* d Cen"    |202.76106914624998|-39.40730527555556 |"G8II/III"             |5.04 |3.88
"* eta Boo"  |208.67116216800866|18.397720717229475 |"G0IV"                 |3.25 |2.68
"* phi Vir"  |217.05057875906   |-2.22795805996     |"G2IV"                 |5.522|4.84
"* omi Boo"  |221.3102522575375 |16.964276615643886 |"G8.5III"              |5.58 |4.6
"*  31 Boo"  |220.41146330761   |8.16176457182      |"G7IIIa"               |5.866|4.862
"* ksi Boo A"|222.84745194146   |19.10044994484     |"G7Ve"                 |5.4  |4.675
"* ksi Boo"  |222.8474163722046 |19.100472048411426 |"G7Ve+K5Ve"            |5.37 |4.593
"* tet CrA"  |278.37577405682   |-42.31250823975999 |"G8III"                |5.618|4.614
"* alf Mic"  |312.49200435483993|-33.779703994      |"G8III"                |5.879|4.89
"* psi01 Lup"|234.94158044832997|-34.41192079899001 |"G8/K0III"             |5.641|4.661
"* Q Sco"    |264.13689643142993|-38.63524773571    |"G8/K0III/IV"          |5.357|4.267
"HD 165634"  |272.02074505330586|-28.45709265001583 |"G7:IIIbCN-1CH-3.5HK+1"|5.51 |4.56
"* gam01 Sgr"|271.25511014821   |-29.580089506210005|"G0Ib/II"              |5.47 |4.69
"* ome Sgr"  |298.95984395829544|-26.29935924974028 |"G5IV"                 |5.45 |4.7
"*  60 Sgr"  |299.73834242432997|-26.19576247541    |"G6III"                |5.735|4.846
"* ome02 Sco"|241.8513625582242 |-20.868764431784726|"G4II-III"             |5.17 |4.33
"* omi Sgr"  |286.17075850011827|-21.741495958675554|"G9IIIb"               |4.77 |3.77
"* ksi02 Sgr"|284.4325007886946 |-21.1066575942875  |"G8/K0II/III"          |4.69 |3.51
"* d Sgr"    |289.4086630645    |-18.9529062457     |"G8II-III"             |5.895|4.878
"* gam Lib"  |233.88157836750003|-14.789535514166666|"G8.5III"              |4.93 |3.91
"* tet Lib"  |238.4564080092892 |-16.729297046860832|"G9IIIb"               |5.17 |4.16
"* phi Oph"  |247.7848623641479 |-16.612730867286395|"G8+IIIa"              |5.19 |4.27
"*  24 Sco"  |250.39326462279   |-17.742166550610005|"G7.5II-IIICN1Ba0.5"   |5.994|4.923
"* bet01 Cap"|305.25277749238   |-14.78140760208    |"G9II:+B8p:Si:"        |3.87 |3.08
"* alf01 Cap"|304.41195470044   |-12.50821218603    |"G3Ib"                 |5.34 |4.27
"* alf02 Cap"|304.5135649821425 |-12.544852120195275|"G9III"                |4.51 |3.58
"* nu. Oph"  |269.7566342235884 |-9.773633604669445 |"G9IIIa"               |4.33 |3.34
"* zet Sct"  |275.91491107595   |-8.93448656463     |"G9-IIIbFe-0.5"        |5.619|4.664
"* eps Sct"  |280.88021209176   |-8.2752126752      |"G8IIb"                |5.998|4.889
"* f Aql"    |290.13710917284993|-5.415768030580001 |"G8/K0IV"              |5.927|4.99
"* eps Oph"  |244.58037593556583|-4.692513152746668 |"G9.5IIIbFe-0.5"       |4.21 |3.23
"* bet Sct"  |281.79364256535   |-4.74787304458     |"G4IIa"                |5.31 |4.22
"* l Aql"    |309.5845187022    |-1.10511725043     |"G7.5IIIa"             |5.29 |4.33
"*  74 Oph"  |275.21693196647   |3.37716408215      |"G8III"                |5.764|4.856
"* bet Aql"  |298.8283035123829 |6.406764233985     |"G8IV"                 |4.56 |3.71
"* lam Ser"  |236.61089255068003|7.353068716340001  |"G0-V"                 |5.03 |4.42
"*  71 Oph"  |271.82649749233   |8.73386723942      |"G8III"                |5.592|4.64
"* ksi Aql"  |298.5620063246    |8.461454288359999  |"G9.5IIIb"             |5.759|4.707
"* kap Her A"|242.01885684482002|17.04697752909     |"G7III"                |5.927|4.994
"* bet Sge"  |295.26224564633   |17.476042411220003 |"G8IIIaCN0.5"          |5.43 |4.38
"* alf Sge"  |295.02413054827   |18.01389072819     |"G1II"                 |5.16 |4.38
"* bet Her"  |247.5550013403688 |21.489610745563056 |"G7IIIaFe-0.5"         |3.7  |2.77
"* 113 Her"  |283.68702078975   |22.645075413740003 |"G8III+:+A0.5"         |5.38 |4.6
"* mu.01 Her"|266.61478040032705|27.720711383034715 |"G5IV"                 |4.17 |3.42
"* del CrB"  |237.39852915443   |26.068392863920003 |"G5III-IVFe-1"         |5.43 |4.63
"* ksi Her"  |269.44119030886577|29.24787944585528  |"G8.5III"              |4.64 |3.7
"* ksi CrB"  |245.52426610955   |30.8919959578      |"G9IIIFe-0.5"          |5.833|4.849
"* zet Her"  |250.32150433146228|31.602718703799262 |"G0IV"                 |3.43 |2.8
"* phi Cyg"  |294.84419130185   |30.153321466460007 |"G8III-IV"             |5.642|4.673
"*  31 Vul"  |313.03204253136   |27.096944198560003 |"G7IIIFe-1"            |5.399|4.568
