    main_id    |        ra         |        dec        |       sp_type        |  B  |  V
---------------|-------------------|-------------------|----------------------|-----|-----
"*  11 Lac"    |340.12857697935914 |44.27630746036666  |"K2.5III"             |5.79 |4.46
"* ksi And"    |20.58508364821     |45.52877673579     |"K0-IIIb"             |5.951|4.868
"* gam01 And"  |30.97480120653972  |42.32972842352701  |"K2+IIb"              |3.3  |2.1
"*   5 Lac"    |337.3826173137183  |47.706905899615    |"K9Ia+B2V"            |6.05 |4.37
"* b And"      |33.3055091634783   |44.2316466494814   |"K4-III:"             |6.32 |4.826
"* ksi Cyg"    |316.23274973463543 |43.92785334950944  |"K4.5Ib-II"           |5.39 |3.73
"V* V424 Lac"  |344.10832662542    |49.73354408009     |"K5Ib"                |6.71 |4.94
"* ups Per"    |24.498158433053337 |48.62821196304722  |"K3-IIICN0.5"         |4.85 |3.57
"* ome Per"    |47.82242490244833  |39.61158091384389  |"K0III"               |5.728|4.607
"*  65 And"    |36.40592906717001  |50.27862870409     |"K4.5III"             |6.249|4.71
"* f02 Cyg"    |316.6503893069042  |47.648403390030836 |"K4Ib-IIa"            |6.079|4.514
"* tau Cas"    |356.76439327339    |58.65199103572999  |"K1-IIIa"             |5.993|4.873
"* alf Cas"    |10.126846007691249 |56.537329217042775 |"K0-IIIa"             |3.4  |2.23
"* zet Cep"    |332.71365710650707 |58.20126183406695  |"K1.5Ib"              |4.9  |3.35
"* ups01 Cas"  |13.750648761579999 |58.97269920721     |"K2III"               |6.042|4.82
"* sig Per"    |52.64368902509     |47.9952163484      |"K3-III"              |5.71 |4.36
"* omi02 Cyg"  |303.8680175512     |47.71422609236     |"K7Ib-II+B1V"         |5.5  |3.98
"* eta Per"    |42.67420822277708  |55.895494367171665 |"K3-Ib-IIa"           |5.48 |3.79
"* iot Cep"    |342.4200728828125  |66.20040505350917  |"K0-III"              |4.6  |3.54
"* psi Cas"    |21.483429973130832 |68.13001379715332  |"K0III-IIIbCN0.5"     |5.78 |4.727
"* eta Cep"    |311.3223965313     |61.838781731080005 |"K0IV"                |4.32 |3.41
"HD 189276"    |298.98074454629995 |58.84596862979999  |"K4.5IIIa"            |6.51 |4.96
"* rho Dra"    |300.7044618618392  |67.87356411482388  |"K2+IIICN1Ca1"        |5.81 |4.5
"* sig Dra"    |293.0899592077504  |69.66117661255723  |"K0V"                 |5.46 |4.68
"HD 216446"    |341.87112147264    |83.15382875035     |"K3III"               |6.04 |4.78
"*  42 Dra"    |276.49640400057    |65.56348092883     |"K1.5IIIFe-1"         |6.005|4.823
"* ups Dra"    |283.59938282556    |71.29719626537     |"K0IIICN0.5"          |5.964|4.814
"* tau Dra"    |288.88743875065    |73.35552175418     |"K2+IIIbCN1"          |5.7  |4.45
"HD 217382"    |343.60404479825996 |84.34617533776     |"K4III"               |6.112|4.684
"*   2 UMi"    |17.1869943146575   |86.25709066820444  |"K2III"               |5.459|4.225
