   main_id   |        ra         |        dec        |     sp_type     |  B  |  V
-------------|-------------------|-------------------|-----------------|-----|-----
"*   8 And"  |349.43603027376    |49.01530081413999  |"M2.5IIIBa0.5"   |6.53 |4.86
"* rho Per"  |46.29414106098047  |38.84027619029382  |"M4+IIIa"        |5.04 |3.39
"V* R Cas"   |359.6036178271     |51.38880917483     |"M6.5-9e"        |6.63 |4.8
"* mu. Cep"  |325.8769148160595  |58.78004609373167  |"M2-Ia"          |6.43 |4.08
"*   4 Cas"  |351.2094267145825  |62.28281016386695  |"M1/3"           |6.592|4.955
"V* VV Cep"  |329.1630895679788  |63.625550454566664 |"M2Ibep+B2?ep_sh"|6.65 |4.9
"V* BE Cam"  |57.38032311777     |65.52597939514     |"M2II"           |6.36 |4.48
"* pi. Aur"  |89.98374135855     |45.93673491601     |"M3IIb"          |5.97 |4.25
"V* VZ Cam"  |112.76861553166    |82.41146708872     |"M4IIIa"         |6.62 |4.96
"*  42 Her"  |249.68685420526998 |48.92834232506     |"M2III"          |6.45 |4.9
"* rho UMa"  |135.63621448841    |67.62961744952     |"M3IIICa1"       |6.29 |4.76
"V* RR UMi"  |224.39587328309622 |65.93244851210666  |"M4.5III"        |6.19 |4.54
"*   4 Dra"  |187.52775831911    |69.2011039547      |"M3+IIIa"        |6.57 |4.95
"* lam Dra"  |172.85092364299916 |69.33107573011195  |"M0III-IIIaCa1"  |5.47 |3.85
"* i Dra"    |207.85796514593542 |64.72328127628585  |"M3.5III"        |6.23 |4.66
"*  83 UMa"  |205.1844697399329  |54.6816350097275   |"M2III"          |6.29 |4.66
"* alf Cet"  |45.56988780332224  |4.089738771805157  |"M1.5IIIa"       |4.17 |2.53
"* tau04 Eri"|49.87916936539666  |-21.757865396989718|"M3III-IIIaCa-1" |5.32 |3.7
"* pi. Eri"  |56.53556341675     |-12.101588482009998|"M1III"          |6.04 |4.42
"* gam Eri"  |59.50735758877376  |-13.508514805984444|"M0III-IIIb"     |4.54 |2.94
"*  54 Eri"  |70.11046426124     |-19.67149187359    |"M3/4III"        |5.9  |4.3
"* omi Ori"  |73.13317666869     |14.25064208505     |"M3SIII"         |6.458|4.721
"* 119 Tau"  |83.05313179526708  |18.59423660180722  |"M2Iab-Ib"       |6.41 |4.33
"* ups Aur"  |87.76015536901     |37.30556969497     |"M0III"          |6.36 |4.74
"* alf Ori"  |88.79293899077537  |7.407063995272694  |"M1-M2Ia-Iab"    |2.27 |0.42
"* eta Gem"  |93.71935536055373  |22.506787327170834 |"M2IIIa"         |4.89 |3.28
"* mu. Gem"  |95.74011192619564  |22.513582745904277 |"M3IIIab"        |4.51 |2.87
"HD  56618"  |109.1458033862     |-27.88117904547    |"M2III"          |6.24 |4.64
"* ups Gem"  |113.98062505905    |26.8957444986      |"M0III"          |5.6  |4.06
"V* KQ Pup"  |113.44986160177    |-14.52390398785    |"M1Iabe+B2"      |6.38 |4.97
"*  24 Cap"  |316.7819506660321  |-25.00585263557027 |"M1-III"         |6.11 |4.5
"* eta Scl"  |6.98207425573      |-33.00716596713    |"M2/3III"        |6.45 |4.81
"* ups Cet"  |30.001285296691666 |-21.077831669502782|"M0III"          |5.58 |4.02
"*   7 Cet"  |3.6600704726100006 |-18.932863353932504|"M1III"          |6.12 |4.46
"* tau Aqr"  |342.39792075111455 |-13.592628543936945|"M0III"          |5.57 |3.98
"* lam Aqr"  |343.15364185224    |-7.57959692371     |"M2.5IIIFe-0.5"  |5.44 |3.79
"* phi Aqr"  |348.58065933507993 |-6.049006424670001 |"M1.5III"        |5.77 |4.22
"*  30 Psc"  |0.49008113222000005|-6.01407055668     |"M3III"          |6.04 |4.41
"*  55 Peg"  |346.75108638868    |9.40949272861      |"M1IIIab"        |6.08 |4.52
"* chi Peg"  |3.650684510418749  |20.206702882684446 |"M2+III"         |6.38 |4.8
"* psi Peg"  |359.43969396680626 |25.141405248638332 |"M3III"          |6.25 |4.66
"*   2 Peg"  |322.4870602043717  |23.638840285698056 |"M1+III"         |6.088|4.509
"* bet Peg"  |345.9435727452067  |28.082787124606668 |"M2.5II-III"     |4.09 |2.42
"* bet And"  |17.43301617293042  |35.62055765052624  |"M0+IIIa"        |3.62 |2.05
"*  15 Lac"  |343.00847439764    |43.31241718256     |"M1III"          |6.497|4.938
