   main_id   |        ra        |        dec         |     sp_type     | B  | V
-------------|------------------|--------------------|-----------------|----|----
"* alf Cam"  |73.5125474527996  |66.34267600708583   |"O9Ia"           |4.34|4.29
"* ksi Per"  |59.74126012587458 |35.79103042103805   |"O7.5III(n)((f))"|4.08|4.06
"* lam Ori"  |83.78449002103218 |9.934155874166667   |"O8IIIf+B0.5V"   |3.48|3.66
"* lam Ori A"|83.78448366963    |9.934164257309998   |"O8III((f))"     |3.48|3.47
"* del Ori"  |83.00166705557675 |-0.29909510708333326|"O9.5IINwk"      |2.02|2.41
"* iot Ori"  |83.85827580502625 |-5.909888523506666  |"O9IIIvar"       |2.53|2.77
"* ups Ori"  |82.98274983152    |-7.301537745826389  |"O9.7V"          |4.36|4.63
"* sig Ori"  |84.68652242855    |-2.60007866108      |"O9.5V+B0.2V(n)" |3.58|3.79
"* zet Ori B"|85.18988002916667 |-1.9432186222222223 |"O9.5II-III(n)"  |3.55|3.73
"* zet Ori"  |85.18969442793068 |-1.9425735859722049 |"O9.7Ib+B0III"   |1.56|1.77
"* zet Ori A"|85.18969642916667 |-1.9425723222222224 |"O9.2IbvarNwk"   |1.79|1.9
"*  15 Mon"  |100.24441512044264|9.895756366805493   |"O7V+B1.5/2V"    |4.45|4.68
"*  29 CMa"  |109.66824556404002|-24.55869951348     |"O7Iafpvar"      |4.8 |4.95
"* tau CMa"  |109.67702081318917|-24.954361319371664 |"O9II"           |4.25|4.4
"* zet Pup"  |120.89603140977576|-40.003147798268934 |"O4I(n)fp"       |1.98|2.25
"*  10 Lac"  |339.815327655     |39.050269764444444  |"O9V"            |4.67|4.88
"* tet Oph"  |260.502413945     |-24.99954638166667  |"OB"             |3.03|3.26
"* zet Oph"  |249.2897502448742 |-10.56708603964     |"O9.2IVnn"       |2.58|2.56
"* mu. Nor"  |248.52091401572375|-44.04531127887388  |"O9.7Iab"        |4.99|4.94
